SN,StnID,StationName,LatDD,LongDD,Region,Column1,Air_T,RH,Pluvio,TBRG,AvgWS,AvgWD,SolRad,SoilTemp5,SoilMoisture520,SoilMoisture50100,Pressure,
1,201,Treherne,49.635,-98.676,Central,371,2006,2006,2011,2006,2007,2007,2017,2007,2016,2018,2018
2,202,Starbuck,49.768,-97.664,Central,237,2006,2006,2011,2006,2007,2007,2012,2007,2016,2019,2019
3,203,St. Pierre,49.449,-96.963,Eastern,244,2006,2006,2016,2006,2007,2007,2017,2007,2016,2018,2018
4,204,Gladstone,50.142,-98.95,Central,279,2006,2006,2011,2006,2007,2007,2009,2007,2016,2018,2018
5,205,Moosehorn,51.333,-98.598,Interlake,253,2006,2006,2014,2006,2007,2007,2016,2015,2016,2018,2018
6,206,Arborg,50.904,-97.273,Interlake,230,2006,2006,2011,2006,2007,2007,2012,2007,2016,2019,2019
7,207,Teulon,50.381,-97.236,Interlake,249,2006,2006,2016,2006,2007,2007,2017,2007,2016,2018,2018
8,208,Souris,49.63,-100.198,Southwest,449,2006,2006,2011,2006,2007,2007,2017,2007,2016,2018,2018
9,209,Boissevain,49.24,-100.055,Southwest,503,2006,2006,2011,2006,2007,2007,2017,2007,2016,2018,2018
10,210,Selkirk,50.177,-96.794,Interlake,227,2006,2006,2011,2006,2007,2007,2012,2007,2016,2019,2019
11,211,St Rose,51.082,-99.524,Northwest,263,2006,2006,2011,2006,2007,2007,2017,2007,2016,2017,2018
12,212,Carman,49.498,-98.03,Central,271,2006,2006,2011,2006,2007,2007,2017,2007,2017,,
13,213,Ethelbert,51.572,-100.488,Northwest,370,2006,2006,2019,2006,2007,2007,2019,2007,2019,2019,2019
14,214,Hamiota,50.185,-100.603,Southwest,527,2006,2006,2011,2006,2007,2007,2017,2007,2016,2018,2018
15,215,Russell,50.769,-101.297,Northwest,554,2006,2006,2011,2006,2007,2007,2017,2007,2016,2017,2018
16,216,Birtle,50.411,-100.893,Southwest,542,2006,2006,2011,2006,2007,2007,2017,2007,2016,2018,2018
17,217,Dugald,49.826,-96.776,Eastern,245,2006,2006,2016,2006,2007,2007,2016,2007,2016,2018,2018
18,218,Eriksdale,50.829,-98.111,Interlake,265,2006,2006,2014,2006,2007,2007,2016,2007,2016,2018,2018
19,219,Grandview,51.185,-100.715,Northwest,439,2006,2006,2016,2006,2007,2007,2017,2007,2016,2017,2018
20,220,Killarney,49.148,-99.685,Southwest,511,2006,2006,2011,2006,2007,2007,2017,2007,2016,2018,2018
21,221,Minnedosa,50.272,-99.762,Southwest,563,2006,2006,2014,2006,2007,2007,2017,2007,2016,2018,2018
22,222,Morris,49.361,-97.322,Central,239,2006,2006,2011,2006,2007,2007,2007,2007,2016,2018,2018
23,223,Steinbach,49.55,-96.681,Eastern,258,2006,2006,2011,2006,2007,2007,2017,2007,2016,2019,2019
24,224,Virden,49.878,-100.918,Southwest,442,2006,2006,2011,2006,2007,2007,2017,2007,2016,2018,2018
25,225,Woodlands,50.161,-97.712,Interlake,252,2006,2006,2016,2006,2007,2007,2017,2007,2016,2018,2018
26,230,Winkler,49.122,-97.932,Central,279,2007,2007,2011,2007,2007,2007,2007,2007,2016,2018,2018
27,231,Swan Valley,52.057,-101.49,Northwest,375,2007,2007,2016,2007,2007,2007,2017,2007,2016,2018,2018
28,232,Pierson,49.215,-101.21,Southwest,470,2007,2007,2016,2007,2007,2007,2017,2007,2016,2018,2018
29,233,Forrest,50.054,-99.926,Southwest,502,2007,2007,2014,2007,2007,2007,2007,2007,2016,2018,2018
30,235,Portage East,49.97,-98.254,Central,257,2008,2008,2014,2008,2008,2008,2008,2008,2016,2018,2018
31,237,Elm Creek,49.68,-97.984,Central,264,2008,2008,2011,2008,2008,2008,2008,2008,2016,2019,2019
