StnID,StationName,StnDesc,EC_Code,FireCode,StnOwerID,ProvCode,Norm_StnID,DailyRep,Include,RegionID,SpudRegID,LatDD,LongDD,Elevation,WindHTm,Albedo
201,Treherne,Treherne,,,2,MB,101,Y,Y,1,2,49.634876,-98.676166,371,10,0.23
202,Starbuck,Starbuck,,,2,MB,42,Y,Y,1,0,49.786856,-97.608381,236,10,0.23
203,"St Pierre","St Pierre",,,2,MB,92,Y,Y,2,4,49.4491,-96.9627,244,10,0.23
204,Gladstone,Gladstone,,,2,MB,79,Y,Y,1,2,50.142109,-98.949846,279,10,0.23
205,Moosehorn,Moosehorn,,,2,MB,65,Y,Y,3,0,51.332585,-98.597644,253,10,0.23
206,Arborg,Arborg,,,2,MB,64,Y,Y,3,0,50.9044,-97.273,230,10,0.23
207,Teulon,Teulon,,,2,MB,105,Y,Y,3,0,50.3808,-97.2355,249,10,0.23
208,Souris,Souris,,,2,MB,2,Y,Y,5,0,49.630254,-100.197878,449,10,0.23
209,Boissevain,Boissevain,,,2,MB,74,Y,Y,5,0,49.239929,-100.055447,503,10,0.23
210,Selkirk,Selkirk,,,2,MB,103,Y,Y,3,4,50.176967,-96.793795,227,10,0.23
211,"St Rose","St Rose",,,2,MB,9,Y,Y,4,0,51.0816,-99.5237,263,10,0.23
212,Carman,Carman,,,2,MB,75,Y,Y,1,0,49.498083,-98.029655,271,2,0.23
213,Ethelbert,Ethelbert,,,2,MB,9,Y,Y,4,0,51.57233,-100.48755,370,2,0.23
214,Hamiota,Hamiota,,,2,MB,84,Y,Y,5,0,50.18526,-100.60315,527,10,0.23
215,Russell,Russell,,,2,MB,1,Y,Y,5,0,50.769347,-101.296519,554,10,0.23
216,Birtle,Birtle,,,2,MB,216,Y,Y,5,0,50.4109,-100.89,542,10,0.23
217,Dugald,Dugald,,,2,MB,67,Y,Y,2,8,49.8262,-96.776,245,10,0.23
218,Eriksdale,Eriksdale,,,2,MB,56,Y,Y,3,0,50.829,-98.111,265,10,0.23
219,Grandview,Grandview,,,2,MB,78,Y,Y,4,0,51.1845,-100.715,439,10,0.23
220,Killarney,Killarney,,,2,MB,66,Y,Y,5,0,49.14829,-99.684727,511,10,0.23
221,Minnedosa,Minnedosa,,,2,MB,90,Y,Y,5,0,50.271749,-99.761339,563,10,0.23
